District,Block,Significant Place,Latitude,Longitude,Description,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Araria,Araria,Madneshwar Dham Temple,26.21102561,87.51350337,"Located in the Madanpur block, Madneshwar Dham is a highly revered ancient Shiva temple and the spiritual heart of Araria. It features a unique Shivalinga and a large sacred pond, drawing thousands during Shravani Mela. Historically, it is a key landmark in the Mithila-Seemanchal cultural belt.",https://images.bhaskarassets.com/webp/thumb/512x0/web2images/521/2023/08/31/app_169340479264ef4e7804edc_img-20230217-wa0317.jpg,https://scontent-bom5-1.xx.fbcdn.net/v/t39.30808-6/633696617_1391308066373924_8495415283001468444_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=110&ccb=1-7&_nc_sid=7b2446&_nc_ohc=S6lzcA6tYRgQ7kNvwHaru4Q&_nc_oc=Adp5KwplDf4Eii_QZ-Ce-Cilcrx-Shtzk7zHhirb7G39GPc7cNaHo8iQhMbmclrLcac&_nc_zt=23&se=-1&_nc_ht=scontent-bom5-1.xx&_nc_gid=Mm-7s9xQI-I4oDSWuig_2Q&_nc_ss=8&oh=00_AfwYtLoWu7XF3lAXoEmzT5yOoX0bCAzr9ODU8_O3i72F-A&oe=69C13692,,,
Arwal,Arwal,Gautam Budh Mandir,25.09784784,84.69924994,This serene temple near the Sone River serves as a vital center for Buddhist spiritualism and meditation in Arwal. The temple architecture and golden Buddha statue make it a tranquil destination for pilgrims and moral educators.,"
https://hindimeyatra.com/images/uploads/2023/11/arwal-me-ghumne-ki-jagah.jpg",https://ghumnekijagah.com/wp-content/uploads/2022/04/images-9-300x249.jpeg,,,
Aurangabad,Deo,Deo Sun Temple,24.6552,84.4361,"A 15th-century stone architectural marvel, this unique Sun temple famously faces west. It is the primary site for the Chhath festival in south Bihar, showcasing the engineering prowess of the Nagara style with its massive, mortar-less stone blocks.",https://upload.wikimedia.org/wikipedia/commons/d/d6/Oriental_Scenery_Part_5_Fig_5.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Sun-temple_DEO_Aurangabad_Bihar%2CIndia.jpg,,,
Banka,Bausi,Mandar Hill,24.65882031,84.43703608,"A 700-foot granite hill famous for the Samudra Manthan legend. It houses significant rock-cut sculptures and both Hindu and Jain temples at the summit. Geographically, it is a prominent monadnock offering panoramic views of the Banka region.",https://upload.wikimedia.org/wikipedia/commons/c/c1/Bankamhill.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Mandar1.png,,,
Begusarai,Cheria Bariyarpur,Kanwar Lake Sanctuary,25.62536198,86.14403537,Asia's largest freshwater oxbow lake and Bihar's first Ramsar site. It is a critical wintering ground for over 60 species of migratory birds from Siberia. It is a major hydrological marker for the Gandak-Burhi Gandak floodplains.,https://upload.wikimedia.org/wikipedia/commons/f/f3/Kanpursar.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Kanwar_Lake_Begusarai_by_Ziddi_Photowala.jpg,,,
Bhagalpur,Kahalgaon,Vikramshila University Ruins,25.32407563,87.28472492,"Founded by King Dharmapala, this ancient university was a global hub for Vajrayana Buddhism. The ruins include a massive cruciform stupa and monastic cells, standing as a testament to Bihar's intellectual and educational heritage on the banks of the Ganga.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Ruins_of_Vikramshila_University_%28broken_pillars%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/Vikramshila_University_Panorama_Cloudy_Weather.jpg,,,
Bhojpur,Jagdishpur,Veer Kunwar Singh Fort,25.46598482,84.420589,The ancestral home of 1857 hero Babu Veer Kunwar Singh. The fort is a symbol of Indian resistance against British rule and houses a museum dedicated to the First War of Independence. It is a major socio-political landmark in western Bihar.,https://s7ap1.scene7.com/is/image/incredibleindia/1-jagdishpur-fort-arrah-bihar-attr-hero?qlt=82&ts=1726740568589,"https://hblimg.mmtcdn.com/content/hubble/img/Arrah_imgs/mmt/activities/t_trp/m_Jagdishpur_fort_1_l_480_640.jpg?im=Resize=(800,380)",https://blissfulbihar.com/wp-content/uploads/2023/09/veer-kunwar-singh-statue.webp,,
Buxar,Chausa,Battle of Chausa Field,25.50972068,83.88022431,"The site of the historic 1539 battle where Sher Shah Suri defeated Emperor Humayun. Located at the confluence of the Karmanasa and Ganga, it is an essential monitoring point for river water levels and historical-military research.",https://vushii.com/uploads/327481594_Buxar%20Fort.png,https://www.hlimg.com/images/things2do/738X538/images-23-1511370638t.jpg?w=700&dpr=1.0,,,
Darbhanga,Darbhanga Sadar,Darbhanga Raj Qila,26.16032745,85.89414255,"A magnificent red-brick fort complex showcasing Mughal-Rajput-European architecture. Home to the Shyama Mai temple and beautiful palaces, it represents the cultural and royal legacy of the Mithila region and the Darbhanga Raj.",https://assets.indiaonline.in/cg/Darbhanga/City-Guide/Fort.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Fort_of_Darbhanga.jpg,,,
East Champaran,Kesaria,Kesaria Stupa,26.3341,84.8548,"The world's largest Buddhist stupa, standing at 104 feet. Built by Ashoka and the Guptas, it commemorates the site where Buddha gave his alms bowl to the people of Vaishali. It is a primary landmark for the Buddhist Circuit and Gandak basin weather.",https://upload.wikimedia.org/wikipedia/commons/b/b0/Borobudur_and_Kesaria_design_similarities.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/Kesariya.jpg,,,
